Address,Owner/Developer,Total Construction Floor Area,Proposed Dwelling Units,TRD Link,Acris link,Proposed No of Stories,Proposed Height,Bin,Initial Cost,Filing Date,Council District,Census Tract,Zip,Building Type,Job Filing Number,Filing Status,Block,LOT,Commmunity - Board,NTA,Work on Floor,Apt./Condo No(s),Applicant Professional Title,Applicant License #,Applicant First Name,Applicant Last Name,Owner's Business Name,Owner's Street Name,City,State,Filing Representative First Name,Filing Representative Last Name,Filing Representative Business Name,Filing Representative Street Name,Filing Representative City,Filing Representative Zip,Sprinkler (Work Type),Plumbing (Work Type),Review Building Code,Little E,Unmapped/CCO Street,In Compliance with NYCECC,Exempt from NYCECC,SpecialInspectionRequirement,Special Inspection Agency Number,ProgressInspectionRequirement,Built 1 information value,Built 2 information value,Built 2 A information value,Built 2 B information value,Standpipe,Antenna,Curb Cut,Sign,Fence,Scaffold,Shed,Latitude,Longitude,BIN,Current Status Date,Permit Issue Date,Boiler Equipment (Work Type),Earth Work (Work Type),Foundation (Work Type),General Construction (Work Type),Mechanical Systems (Work Type),Place of Assembly (Work Type),Protection Mechanical Methods (Work Type),Sidewalk Shed (Work Type),Structural (Work Type),Support of Excavation (Work Type),Temporary Place of Assembly (Work Type),House No,Street Name,Borough,Job Type
164 FOURTH AVENUE,Heron Fourth Ave LLC,"166,633",140,,,18,175,3006805,,,,,,,,,420,37,,Park Slope-Gowanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.679223,-73.981829,,,,,,,,,,,,,,,,,,New Building
"125 THIRD STREET (DOB)
aka 130 2ND STREET",Orange Management,"93,297",130,https://therealdeal.com/new-york/2023/05/08/rotem-rosen-loses-his-gambit-in-gowanus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204 FOURTH AVENUE,Avery Hall Investments,"200,000",193,https://therealdeal.com/new-york/2019/11/19/avery-hall-pays-30m-for-gowanus-site/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTER REZONING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155 THIRD STREET,Monadnock Development,"315,756",301,https://therealdeal.com/new-york/2021/12/14/three-gowanus-projects-lead-spate-of-new-development-filings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175 THIRD STREET,RFR Holdings,"647,353",450,https://therealdeal.com/new-york/2022/03/03/aby-rosens-rfr-plans-375-unit-gowanus-building/,,,,,"$70,452,976",B.I.G. ARCHITECTURE D.P.C.,THOMAS LAVIN ,PR,390 PARK AVENUE,TLAVIN@RFR.COM,New Building,BROOKLYN,PROPOSED 21-STORY MIXED USE BUILDING AS SHOWN ON PLANS. WORK ON 001-021 & ROF.,3/1/2022,Park Slope-Gowanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"192 DOUGLASS STREET
aka 259 BOND STREET",Midwood Investments & Development,"319,664",270,,,22,274,3331226,,,33,75,033196,MANISH,,CHADHA,"ISMAEL LEYVA ARCHITECTS P.C,",48 WEST 37TH STREET,NEW YORK,Carroll Gardens-Columbia Street-Red Hook,,,,,WILLIAM VITACCO ASSOCIATES,299 BROADWAY,NEW YORK,NY,10007,False,False,1000,,2014,No,No,,,True,False,Other,,,,"Air barrier -- visual inspection, Air barrier continuity plan testing, Energy Code Compliance Inspections, Fenestration air leakage, Fenestration and door U-factor and product ratings, Fenestration areas, Fire-Resistance Rated Construction, Insulation placement and R values, Protection of exposed foundation insulation, Vestibules",,,,,,,,,,False,False,False,40.681688,-73.987857,3331226,,,,,,,,,,,,,,,,,New Building
563 SACKETT STREET,Domain,"355,318",338,https://therealdeal.com/new-york/2023/01/19/these-were-the-10-biggest-projects-announced-in-2022/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224 3rd AVENUE,Slate Property Group,"60,163",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335 BOND STREET,Eduard Slinin,"84,131",70,https://www.dailymail.co.uk/news/article-10026653/Super-rich-residents-sue-developers-NYC-skyscraper-Billionaires-Row-250-MILLION.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285 DOUGLASS STREET,Marc Jay Freud,"79,232",79,https://www.nytimes.com/2004/05/30/fashion/weddings/valerie-russo-marc-freud.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213 THIRD AVENUE,Dolly Williams,"82,942",80,http://www.dollywilliams.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 4th STREET,George Hoffman,"75,302",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475 SMITH STREET,"Lantower, Yoel Schwimmer","69,951",899,https://therealdeal.com/new-york/2020/12/31/all-year-in-default-on-66m-gowanus-preferred-equity-loan/,http://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=471&lot=200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"463 SMITH STREET
aka 459 SMITH STREET",,"315,910 (421,918 total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"435 PRESIDENT STREET
aka 313 BOND STREET (DOB)
aka 395 CARROLL STREET",Rabsky Group; Sky Equities,"457,854",604,https://therealdeal.com/new-york/2019/02/27/rabsky-buying-gowanus-parcel-from-yoel-goldman-for-95m-sources/,,22,224,,,12/01/2021 11:54:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"499 PRESIDENT STREET (DOB)
aka 514 UNION STREET
aka 469 PRESIDENT STREET",Brodsky Organization,"342,697",350,https://therealdeal.com/new-york/2023/05/25/brodsky-org-pays-76m-for-popular-shuffleboard-and-project-sites/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556 BALTIC STREET,Jacob Schwimmer,"92,100",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325 BOND STREET,Rabsky Group,"79,896",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY OWNED PROJECTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corner of Smith and 5th Streets (Gowanus Green),New York City/Hudson Companies,"998,000",950,https://therealdeal.com/2020/11/20/massive-gowanus-development-will-be-100-affordable/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117 & 211 Hoyt Street (Gowanus Houses),New York City ,"930,780","1,137",https://therealdeal.com/2021/11/10/gowanus-rezoning-agreement-paves-way-for-8k-new-homes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272 Wyckoff Street (Wyckoff Gardens),New York City,"509,151",529,https://therealdeal.com/2021/11/10/gowanus-rezoning-agreement-paves-way-for-8k-new-homes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2,437,931","2,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL NEW APARTMENTS,,,"8,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,"10,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
