cannabis_store_name,cannabis_start_date,address,neighborhood,lat,lon,previous_tenant_name,previous_category,previous_tenant_end
Smiley Exotics,2024-04-26 19:10:48+00:00,201 East 30th Street,Kips Bay,40.74311748520369,-73.97952688,Waxing Studio NYC,"Brows, Lashes, Wax & Makeup",2023-08-31 04:27:05+00:00
Dynasty Commodities,2025-05-30 17:33:58+00:00,2119 Frederick Douglass Boulevard,South Harlem,40.80352827813351,-73.95623233,Paint Puff N Peace,"Vapes, Cigars & Accessories",2024-03-19 04:28:25+00:00
NY Cannabis Co,2025-02-03 19:59:23+00:00,743 9th Avenue,Hell's Kitchen,40.76371692000775,-73.98898512,Nica & Sam,Barber Shops & Hair Salons,2024-06-28 02:35:58+00:00
Sofaclub Cannabis,2026-05-22 20:33:41+00:00,127 East 56th Street,Park Avenue,40.760533697297035,-73.97006355,Skin Spa New York,Massage & Relaxation,2026-05-22 20:33:41+00:00
The Spot Dispensary,2025-01-23 16:56:22+00:00,154 Vanderbilt Avenue,Fort Greene,40.69286315767971,-73.96993243,The B. Beauty Bar,"Brows, Lashes, Wax & Makeup",2024-10-31 18:47:12+00:00
Hornbill Cannabis,2025-10-16 15:34:46+00:00,224 1st Avenue,East Village,40.73086573009205,-73.98271244,Sun Tan Nail,Nail Salon,2023-07-19 01:41:46+00:00
The Herbal Care,2024-02-06 17:23:40+00:00,1412 Lexington Avenue,Carnegie Hill,40.78370950326462,-73.95266228,Chocolate Works,Sweets & Desserts,2019-11-01 16:17:12+00:00
The Travel Agency Union Square,2024-01-14 03:11:46+00:00,835 Broadway,Greenwich Village,40.733881287013276,-73.99110783,Chase Bank,Banks & Atms,2023-10-10 11:07:00+00:00
Chelsea Cannabis Co.,2026-02-18 16:53:48+00:00,100 7th Avenue,Chelsea,40.740167380520404,-73.99871255,Williams-Sonoma Home,Furniture & Home Goods,2024-11-16 07:52:41+00:00
Elevation,2025-06-10 04:07:42+00:00,701 8th Avenue,Times Square,40.75870762603755,-73.98892868,Smith's Bar & Restaurant,Bar,2025-06-10 04:07:42+00:00
Hii NYC,2024-08-02 14:57:01+00:00,152 Bedford Avenue,North Williamsburg,40.71877963923825,-73.95685261,Verizon,Electronics & Mobile Phones,2023-04-10 02:54:48+00:00
Mighty Lucky,2024-04-26 19:10:59+00:00,259 Bowery,Lower East Side,40.72326296342791,-73.99270376,Joco E-Bikes,Sporting Goods & Outdoor Equipment,2024-01-22 17:44:30+00:00
Maison Canal,2026-05-07 19:19:02+00:00,388 Canal Street,Tribeca,40.72120647720931,-74.00494255,Bud & Beyond,"Vapes, Cigars & Accessories",2024-08-08 08:15:14+00:00
Culture House,2026-05-22 20:30:40+00:00,807 Manhattan Avenue,Greenpoint,40.72795941398859,-73.95329065,Capital One Bank,Banks & Atms,2023-08-13 16:47:35+00:00
The Daily Green,2026-05-22 20:31:26+00:00,719 7th Avenue,Times Square,40.75968532761897,-73.98407686,Covergirl,Beauty Product Store,2021-06-02 06:46:31+00:00
Twin Leaf Cannabis,2026-05-22 20:31:53+00:00,566 7th Avenue,Times Square,40.75518292049379,-73.98778263,CBD Boutique,Beauty Product Store,2026-05-22 20:31:53+00:00
FlynnStoned Cannabis Company,2025-11-21 01:45:27+00:00,206 8th Avenue,Chelsea,40.74367329924411,-73.99945824,The Blue,Adult Store,2024-04-30 02:45:38+00:00
The Alchemy,2026-02-18 16:53:38+00:00,302 8th Avenue,Chelsea,40.74667607340902,-73.99727852,7-Eleven,Groceries & Convenience,2023-05-24 18:31:16+00:00
Indoor Treez,2024-06-24 17:30:01+00:00,584 8th Avenue,Garment District,40.754938005703394,-73.99125197,Cannabis Gifts,"Vapes, Cigars & Accessories",2024-02-02 15:50:25+00:00
The Flowery,2025-05-17 17:03:26+00:00,101 East 10th Street,East Village,40.73075097352094,-73.98882612,TD Bank,Banks & Atms,2024-08-22 19:25:39+00:00
Poppin,2026-02-18 16:53:17+00:00,317 10th Avenue,Chelsea,40.75111986469815,-74.00188666,Hudson Loud,Groceries & Convenience,2026-02-18 16:53:17+00:00
The Travel Agency-A Cannabis Store,2024-06-24 17:30:03+00:00,587 5th Avenue,Grand Central,40.75693621015768,-73.97815019,Paris Saint-Germain,Sporting Goods & Outdoor Equipment,2024-02-05 12:57:48+00:00
NY Cannabis Co.,2025-05-30 17:30:55+00:00,381 5th Avenue,Garment District,40.74937362017707,-73.98367054,NYC Gifts,Gifts & Collectibles,2025-02-16 06:08:30+00:00
Bud & Honey,2025-05-07 16:41:23+00:00,241 5th Avenue,NoMad,40.74424290816484,-73.98741216,Unoccupied,N/A,N/A
Mary Jane Cannabis Co,2025-08-09 04:31:24+00:00,799 Lexington Avenue,Lenox Hill,40.76389317281186,-73.96679442,Judith Optical,Eyewear Shop,2019-09-30 16:08:36+00:00
Urban Leaf,2024-06-24 17:30:05+00:00,977 2nd Avenue,Turtle Bay,40.75600207174789,-73.96791673,Murphy's Pub & Restaurant,Bar,2023-05-26 05:35:55+00:00
Super Fly,2025-05-30 17:30:52+00:00,57 West 86th Street,Upper West Side,40.786499828144144,-73.97181485,Chase Bank,Banks & Atms,2023-06-25 22:11:26+00:00
Emerald Dispensary,2025-04-01 17:06:49+00:00,1190 Lexington Avenue,Upper East Side,40.77646320200056,-73.95795638,roget resca salon,Barber Shops & Hair Salons,2023-06-28 02:31:34+00:00
Just A Little Higher,2024-06-24 17:28:23+00:00,157 West 72nd Street,Upper West Side,40.77834936424256,-73.98063108,Goodwill,Clothing Store,2023-06-25 22:30:45+00:00
Nucleus Dispensary,2025-06-10 04:07:10+00:00,1819 2nd Avenue,Yorkville,40.78317148,-73.94808482,Smoke Shop,"Vapes, Cigars & Accessories",2024-08-29 03:39:53+00:00
Just a Little Higher,2024-08-02 16:44:10+00:00,698 2nd Avenue,Murray Hill,40.74705815350882,-73.97401038,Unoccupied,N/A,N/A
FlynnStoned Cannabis Company,2026-01-28 17:53:56+00:00,820 2nd Avenue,Turtle Bay,40.75092876417446,-73.97118644,Hallmark,Cards & Stationery,2025-05-16 16:39:18+00:00
Torches,2025-02-14 22:10:40+00:00,12 East 42nd Street,Grand Central,40.75314584989292,-73.98048357,Nat Sherman,"Vapes, Cigars & Accessories",2021-02-05 04:23:01+00:00
Sofaclub Cannabis,2025-04-01 17:05:45+00:00,229 Avenue B,East Village,40.729213525389554,-73.97807204,Everytable,Restaurant,2024-06-27 03:06:53+00:00
Liberty Buds,2024-06-24 17:30:10+00:00,1115 1st Avenue,Lenox Hill,40.761136524229585,-73.96106417,Mattress Firm,Furniture & Home Goods,2023-06-30 21:52:08+00:00
The Flowery,2025-11-13 19:40:36+00:00,112 Christopher Street,West Village,40.73317646536881,-74.00524491,New York State World Pride Welcome Center,Tours & Visitor Info,2023-03-02 19:30:42+00:00
FlynnStoned Cannabis Company,2026-05-04 18:11:29+00:00,388 Christopher St,West Village,40.73257280346165,-74.01003688,Unoccupied,N/A,N/A
Freshly Baked,2026-05-22 20:31:39+00:00,40 West 55th Street,Sixth Avenue,40.76228891873031,-73.97662027,Bike Rent NYC,Sporting Goods & Outdoor Equipment,2025-11-08 06:02:10+00:00
Rezidue Dispensary,2025-10-23 14:39:17+00:00,723 111th Ave,Hell's Kitchen,40.76673031,-73.9942209,United,Hardware & Home Improvement,2019-02-21 18:32:43+00:00
Lighthouse Cannabis,2025-11-05 02:49:16+00:00,381 Broadway,Tribeca,40.71815828388472,-74.00310553,Joey Pepperoni's Pizza,Restaurant,2023-05-24 04:42:32+00:00
Hold Up Roll Up,2026-04-29 20:26:51+00:00,765 Washington Avenue,Crown Heights,40.67394559,-73.96287652,Happy Cleaners,"Laundry, Cleaners & Tailors",2017-12-18 21:39:51+00:00
Pure Blossoms Cannabis,2026-05-07 19:18:18+00:00,716 Amsterdam Avenue,Upper West Side,40.79325272387867,-73.97115906,"GCS Building Supplies, Inc",Hardware & Home Improvement,2024-08-15 02:26:02+00:00
Q Dispensary,2025-04-23 17:03:48+00:00,733 Flatbush Avenue,Prospect Lefferts Ga,40.65511067405019,-73.95958869,"Paint Puff ""N"" Peace",Hardware & Home Improvement,2024-11-05 04:53:46+00:00
Bliss + Lex Cannabis Dispensary,2024-06-24 17:30:10+00:00,128 East 86th Street,Upper East Side,40.77949924072169,-73.95596696,GameStop,"DVDs, Records & Video Games",2019-11-01 17:57:24+00:00
SofaClub,2026-05-07 19:18:54+00:00,2195 Broadway,Upper West Side,40.78302370134195,-73.98084595,AT&T,Electronics & Mobile Phones,2023-08-09 11:32:05+00:00
Good Company,2026-07-15 17:06:54+00:00,2273 Broadway,Upper West Side,40.78564466995854,-73.97895391,Nexa Pilates,Fitness & Gyms,2023-06-25 18:03:51+00:00
The Flowery,2025-05-16 17:11:23+00:00,2465 Broadway,Upper West Side,40.79179051990388,-73.97419006,SoulCycle,Fitness & Gyms,2023-06-25 17:55:47+00:00
Matawana,2024-04-26 19:10:43+00:00,533 5th Avenue,Park Slope,40.66621891831501,-73.98859721,Chase Bank,Banks & Atms,2024-01-17 11:21:43+00:00
Hibrary Club,2026-05-08 16:45:45+00:00,695 5th Avenue,Greenwood,40.66108721448342,-73.99350711,Noise NYC,"Vapes, Cigars & Accessories",2026-02-11 05:19:37+00:00
Buzzy Cannabis Dispensary,2026-01-24 19:44:30+00:00,137 Court Street,Cobble Hill,40.68949907030241,-73.99230605,Unoccupied,N/A,N/A
Broadway Strains,2025-05-16 17:11:05+00:00,3858 Broadway,Washington Heights,40.83636693916762,-73.94288487,Bladis Deli,Groceries & Convenience,2018-05-15 16:39:36+00:00
Kaya Bliss,2025-10-09 18:39:29+00:00,64 Henry Street,Brooklyn Heights,40.69901286889576,-73.99238053,Smoke Shop,"Vapes, Cigars & Accessories",2024-12-24 05:27:28+00:00
Yerba Buena,2025-04-15 21:57:25+00:00,292 Atlantic Avenue,Boerum Hill,40.68845728592112,-73.9891705,Metro Buffet,Food Hall,2024-09-06 04:05:40+00:00
NYC Bud,2024-07-17 17:30:53+00:00,44-45 Vernon Boulevard,Hunters Point,40.749157176435205,-73.95204019,Gruppo Five Subpartners,"Business, Commercial & Professional Services",2023-07-28 08:39:34+00:00
Happy Munkey,2025-02-03 19:59:21+00:00,453 Fulton Street,Downtown Brooklyn,40.69142903144214,-73.98696649,Downtown Pawn Shop,Pawn Shop,2023-07-25 02:36:53+00:00
Grams Cannabis,2025-08-08 15:15:23+00:00,360 Graham Avenue,East Williamsburg,40.71502850495045,-73.94432332,Salerno Surgical Supplies,Commercial Supply Store,2025-02-22 02:47:38+00:00
Diamond Dispensary,2026-01-28 01:39:42+00:00,455 Graham Avenue,East Williamsburg,40.71903995964024,-73.94534376,Computer Answers,Repair Services,2025-04-27 04:15:54+00:00
Cannavita,2023-11-09 21:49:26+00:00,30-30 Steinway Street,Astoria,40.76317475518341,-73.91575425,Sprint,Electronics & Mobile Phones,2023-07-01 16:26:44+00:00
Dagmar,2024-01-26 19:08:36+00:00,412 West Broadway,SoHo,40.72486949385028,-74.00182526,Tous,Jewelry Store,2023-06-02 02:54:24+00:00
Brooklyn Bourne,2024-10-11 16:57:54+00:00,2225 Church Avenue,Flatbush,40.650558798324795,-73.95780697,JBS Clothing,Clothing Store,2023-08-31 12:37:35+00:00
Mello Tymes,2026-04-15 18:50:11+00:00,1597 St Nicholas Avenue,Fort George,40.85481794604878,-73.9299256,G & S Hardware,Hardware & Home Improvement,2025-01-17 04:26:17+00:00
OG Cannabis Dispensary,2025-05-16 18:28:07+00:00,769 Franklin Avenue,Crown Heights,40.67251595935245,-73.95716676,SJ Green Market,Groceries & Convenience,2025-01-07 05:09:00+00:00
The Flowery New York,2024-12-24 06:19:52+00:00,692 Grand Street,East Williamsburg,40.71144292962541,-73.94487606,AT&T,Electronics & Mobile Phones,2023-04-10 03:08:11+00:00
Hand In Bush,2026-01-28 01:38:36+00:00,834 Dekalb Avenue,Bedford-Stuyvesant,40.69219928808575,-73.94291313,Brooklyn Cooperative Federal Credit Union,Financial Services Center,2024-08-16 02:50:23+00:00
Midnight Moon,2026-01-28 01:40:51+00:00,1536 Amsterdam Avenue,Hamilton Heights,40.819524738133566,-73.95198795,Wine & Unwind,Liquor & Wine,2026-01-28 01:40:51+00:00
The Emerald Dispensary,2024-02-26 16:55:31+00:00,85 Suydam Street,Bushwick,40.69784474539987,-73.92936927,Agape,Religious Center,2023-07-03 23:13:51+00:00
Misha's Flower Shop,2024-08-02 14:47:26+00:00,299 Knickerbocker Avenue,Bushwick,40.70184194924582,-73.9234706,Rent A Center,Department Store,2024-08-02 14:47:26+00:00
Terp Bros,2023-11-09 21:45:45+00:00,36-10 Ditmars Boulevard,Astoria,40.77404026520396,-73.90796164,American Woodworking Company,"Business, Commercial & Professional Services",2023-07-01 16:52:34+00:00
Seneca Cannabis,2026-02-27 18:44:18+00:00,662 Seneca Avenue,Ridgewood,40.70335371515313,-73.90880274,Seneca Garden,"Vapes, Cigars & Accessories",2025-01-10 03:07:15+00:00
BK Exotic,2024-06-24 17:30:08+00:00,1056 Flatbush Avenue,Flatbush,40.64521208416765,-73.95818386,T-Mobile,Electronics & Mobile Phones,2023-07-01 19:10:35+00:00
Uplift Royal Dispensary,2026-05-11 17:18:34+00:00,1557 Lexington Avenue,East Harlem,40.78805283727373,-73.94918034,Willy's Convenience,Groceries & Convenience,2025-08-14 01:13:51+00:00
Dazed Cannabis,2025-11-05 02:51:40+00:00,1596 Flatbush Avenue,Flatbush,40.63177205023908,-73.94691707,The Vitamin Shoppe,Vitamin & Supplement Store,2025-11-05 02:51:40+00:00
All Good Dispensary,2025-06-30 18:14:26+00:00,3405 Avenue H,Northeast Flatbush,40.63202047148795,-73.94343937,Holy Ghost Church Of God,Religious Center,2023-10-09 11:11:40+00:00
Indoor,2026-03-09 16:30:40+00:00,157-48 Crossbay Boulevard,Rockwood Park,40.66112033704337,-73.84076018,Cross Bay Discount,Groceries & Convenience,2025-12-20 06:59:08+00:00
NSH LLC,2025-08-21 21:04:26+00:00,2280 Flatbush Avenue,Marine Park,40.61434716143893,-73.92797677,Berkshire Hathaway Home Services - Fillmore Real Estate,"Business, Commercial & Professional Services",2025-08-21 21:04:26+00:00
The Sanctuary Garden,2025-10-16 20:07:52+00:00,2610 Broadway,Upper West Side,40.79615278725846,-73.970379,Sister Salon,Nail Salon,2023-06-25 17:48:24+00:00
Weedly NYC,2026-02-28 16:48:39+00:00,9 Newkirk Plaza,Ditmas Park,40.63524107322075,-73.9626866,Cannabis World,"Vapes, Cigars & Accessories",2025-12-07 00:26:32+00:00
Astoria Bud Boutique,2026-02-27 04:20:37+00:00,30-12 Astoria Boulevard,Astoria,40.77006375,-73.91854219,Chick -N- Soup,Restaurant,2023-07-15 11:07:55+00:00
Herbarium,2025-02-24 21:19:58+00:00,465 Onderdonk Avenue,Ridgewood,40.70693163,-73.91200142,Mondo Sport Sandwiches Shop,Restaurant,2025-01-09 04:28:26+00:00
Brooklyn Urban Dispensary,2026-07-03 14:23:48+00:00,148 Kingsland Avenue,East Williamsburg-Bushwick,40.721586990986225,-73.9407182,Call Box Sports Bar,Bar,2023-08-14 10:32:23+00:00
Quality Control Dispensary,2025-05-24 22:25:02+00:00,3169 Coney Island Avenue,Brighton Beach,40.57874216255922,-73.95951158,Milena,Clothing Store,2024-12-24 04:15:07+00:00
High Tidez,2025-08-01 15:28:58+00:00,1019 Surf Avenue,Coney Island,40.575660000053546,-73.97871044,Unoccupied,N/A,N/A
Tiki Leaves,2024-06-24 17:30:09+00:00,1511 Neptune Avenue,Coney Island,40.57928823653765,-73.98352982,Pop's Restaurant,Restaurant,2023-06-12 16:40:03+00:00
Greene Street Cannabis Co.,2025-11-13 19:39:19+00:00,3448 Nostrand Avenue,Homecrest,40.60002817483067,-73.94196604,Pro Health,Healthcare,2024-07-02 04:11:41+00:00
Grow Together,2023-11-09 21:47:19+00:00,2370 Coney Island Avenue,Sheepshead Bay,40.59912428124853,-73.9614363,Real Results,Learning Centers & Studios,2018-05-17 17:56:36+00:00
Easy Times,2026-01-28 01:40:50+00:00,2668 Coney Island Avenue,Sheepshead Bay,40.59171596596835,-73.96087728,A N S Grocery Newsstand,Groceries & Convenience,2026-01-28 01:40:50+00:00
Freshly Baked NYC,2024-08-02 14:22:49+00:00,2375 Arthur Avenue,Belmont,40.855066071535845,-73.88814309,Fabco Shoes,Shoe Store,2023-12-10 10:26:53+00:00
Legacy Lifestyle Cannabis,2026-05-07 19:19:25+00:00,5901 Church Avenue,Canarsie,40.65273056114999,-73.92164994,Dunkin' Donuts,Coffee & Tea,2024-09-25 05:15:11+00:00
Flynnstoned,2025-10-16 20:07:24+00:00,8110 5th Avenue,Bay Ridge,40.624850452930445,-74.02468887,Roosevelt Savings Bank,Banks & Atms,2024-02-20 08:30:09+00:00
Purple Buds,2026-05-22 20:32:45+00:00,40-06 76th Street,Elmhurst,40.74684400112342,-73.8896239,Caroline Unisex Spa & Barber Shop,Barber Shops & Hair Salons,2026-05-22 20:32:45+00:00
Hudson Economics,2026-04-02 16:51:35+00:00,1981 86th Street,Bensonhurst,40.60484830332431,-73.99835953,Metro PCS,Electronics & Mobile Phones,2024-12-24 05:36:09+00:00
Bx Buddies Cannabis Dispensary,2025-11-04 17:36:24+00:00,2935 3rd Avenue,Melrose,40.81770885771929,-73.91558938,Amazing Savings Deal,Groceries & Convenience,2024-11-26 01:23:40+00:00
Keya Bliss,2025-01-22 02:42:42+00:00,8412 3rd Avenue,Bay Ridge,40.62474711530271,-74.0306893,Pilo Arts Day Spa & Salon,Massage & Relaxation,2024-11-05 06:22:30+00:00
Fireleaf NY,2024-11-13 19:20:20+00:00,2102 Ralph Avenue,Flatlands,40.626215708150085,-73.91816324,Capital One Bank,Banks & Atms,2023-08-31 04:17:52+00:00
High Dankery,2025-07-18 03:14:50+00:00,7815 3rd Avenue,Bay Ridge,40.62884382465152,-74.02870781,Brooklyn Smokes,"Vapes, Cigars & Accessories",2024-11-05 06:47:30+00:00
Green Klub,2025-11-05 02:47:24+00:00,108 South Street,Financial District,40.70700505176508,-74.00199679,Di Fara Pizza,Restaurant,2025-11-05 02:47:24+00:00
Big City Flavors,2026-02-25 19:02:00+00:00,111-19 Liberty Avenue,South Richmond Hill,40.68512088180523,-73.83045293,Karl Mohan Group Realty,"Business, Commercial & Professional Services",2025-12-06 02:57:11+00:00
Mecca,2026-05-11 19:11:20+00:00,95-31 Jamaica Avenue,Woodhaven,40.69459726379052,-73.84924885,God Bless You All Pharmacy,Pharmacy,2025-02-13 06:05:28+00:00
Alta,2024-11-13 19:20:20+00:00,52 Kenmare Street,Nolita,40.72067573560449,-73.99546905,C Tea,Coffee & Tea,2019-03-05 18:44:17+00:00
Green Cup,2025-08-28 05:28:29+00:00,95-38 Queens Boulevard,Rego Park,40.73018290373432,-73.86336901,Chase Bank,Banks & Atms,2023-07-12 22:16:10+00:00
Herbwell & Cannabis,2025-08-01 18:09:45+00:00,372 East Fordham Road,Fordham,40.86169633271761,-73.89251394,McDonald's,Restaurant,2024-02-02 15:42:47+00:00
Cannabis Cowboy,2026-05-07 19:03:57+00:00,110-04 Jamaica Avenue,Richmond Hill,40.69631666515411,-73.83775865,Associated Medical Services P.C.,Healthcare,2023-09-18 13:35:15+00:00
Flower Power,2026-03-06 21:34:59+00:00,71-10 Grand Avenue,Elmhurst,40.72786707219335,-73.89181026,Palermo Italian Bakery & Pastries,Sweets & Desserts,2023-12-07 10:48:20+00:00
CannaBees Dispensary,2026-05-29 19:49:11+00:00,64-01 Grand Avenue,Maspeth,40.7229752,-73.90152703,Valley National Bank,Banks & Atms,2023-12-07 10:51:49+00:00
Just A Little Higher,2025-09-11 20:23:13+00:00,138-72 Queens Boulevard,Briarwood,40.70697723824227,-73.81744127,No previous owner history,N/A,N/A
The Cannabis Place,2024-07-19 18:00:37+00:00,74-03 Metropolitan Avenue,Middle Village,40.71295292,-73.87808432,Chase Bank,Banks & Atms,2023-07-24 09:43:15+00:00
Happy Alta,2025-11-13 19:41:38+00:00,66-33 Fresh Pond Road,Glendale,40.70800715204975,-73.89756498,Polanco Brothers,"Vapes, Cigars & Accessories",2025-11-13 19:41:38+00:00
Woodhaven Cannabis Co,2025-12-05 06:40:25+00:00,63-08 Woodhaven Boulevard,Middle Village,40.72407736711344,-73.86931982,Homelegant,Furniture & Home Goods,2025-08-24 02:48:23+00:00
Garden Bliss,2025-08-28 05:48:51+00:00,1031 Southern Boulevard,Longwood,40.82372759880721,-73.89202345,Boulevard Menswear,Clothing Store,2025-03-25 00:52:31+00:00
Sunset Cannabis Club,2025-11-05 02:49:29+00:00,512 55th Street,Sunset Park,40.642055412671965,-74.01298207,DM Financial Services Inc.,Financial Services Center,2024-04-25 03:20:01+00:00
New Amsterdam,2025-04-23 17:03:22+00:00,245 West 14th Street,Chelsea,40.739516316814075,-74.00154467,Leafy Nyc,"Vapes, Cigars & Accessories",2024-11-10 03:05:43+00:00
Flynn Stoned,2026-04-27 21:11:05+00:00,599 10th Avenue,Hell's Kitchen,40.76063575600239,-73.99494617,The Spot,Bar,2025-06-15 23:31:03+00:00
Conbud,2024-04-02 19:51:44+00:00,85 Delancey Street,Lower East Side,40.71874941752233,-73.98960474,Coltown Properties Management,"Business, Commercial & Professional Services",2023-06-19 03:47:36+00:00
The Flowery,2025-07-24 20:59:40+00:00,70 Canal Street,Chinatown,40.71509537,-73.99291575,Bike Shop,Sporting Goods & Outdoor Equipment,2023-06-13 03:12:34+00:00
